Criteria_ID,Category,Sub_Category,Question,Description,Area_Type,Max_Score,Active
C-07-2,อุปกรณ์ทำความสะอาด,7.2,จัดเก็บในบริเวณที่กำหนด จัดหมวดหมู่ วางเป็นระเบียบ มีป้ายชี้บ่ง,จัดหมวดหมู่ วางเป็นระเบียบ มี Layout,All,2,TRUE
C-08-1,โทรศัพท์,8.1,ทำความสะอาดสม่ำเสมอ ไม่มีฝุ่นหรือคราบสกปรก,ทำความสะอาดสม่ำเสมอ,All,2,TRUE
C-08-2,โทรศัพท์,8.2,ติดตั้งบริเวณที่ใช้งานได้ง่าย ไม่มีสิ่งกีดขวาง,ตำแหน่งที่เหมาะสม ไม่กีดขวาง,All,2,TRUE
C-08-3,โทรศัพท์,8.3,อุปกรณ์สภาพสมบูรณ์ไม่ชำรุด,สภาพสมบูรณ์,All,2,TRUE
C-09-1,ไฟฉุกเฉิน,9.1,สะอาด ไม่มีฝุ่นสะสม ไม่มีหยากไย่,สะอาดไม่มีฝุ่นสะสม,All,2,TRUE
C-09-2,ไฟฉุกเฉิน,9.2,อยู่ในสภาพพร้อมใช้งาน,อยู่ในสภาพพร้อมใช้งานเสมอ,All,2,TRUE
C-10-1,ไฟดักแมลง,10.1,อยู่ในสภาพพร้อมใช้งาน,อยู่ในสภาพพร้อมใช้งาน,All,2,TRUE
C-10-2,ไฟดักแมลง,10.2,สะอาด ไม่มีฝุ่นสะสม ไม่มีหยากไย่,ไม่มีฝุ่นสะสม ไม่มีหยากไย่,All,2,TRUE
C-11-1,พื้นที่พักขยะและถังขยะ,11.1,มีขอบเขตกำหนดชัดเจน มีป้ายชี้บ่ง,ขอบเขตพื้นที่ขยะกำหนดชัดเจน,All,2,TRUE
C-11-2,พื้นที่พักขยะและถังขยะ,11.2,ถังขยะมีฝาปิด หรือขยะไม่ล้นออกจากถัง/พื้นจัดเก็บ,ฝาปิดหรือขยะไม่ล้นออกจากถัง,All,2,TRUE
C-11-3,พื้นที่พักขยะและถังขยะ,11.3,ไม่เป็นแหล่งสะสมสัตว์พาหะ แมลง,ไม่เป็นแหล่งพักหรือเพาะตัวอ่อนแมลง,All,2,TRUE
C-11-4,พื้นที่พักขยะและถังขยะ,11.4,พื้นไม่มีน้ำขังสะสม ไม่มีสิ่งสกปรกสะสมบนพื้น,พื้นบริเวณขยะสะอาด ไม่มีน้ำขัง,All,2,TRUE
C-12-1,ISOWALL,12.1,ไม่มีขยะ ซากสัตว์ อุปกรณ์ซ่อมบำรุงสะสมบน ISOWALL,บน ISOWALL สะอาด ไม่มีสิ่งสกปรกสะสม,"Production,Warehouse",2,TRUE
C-12-2,ISOWALL,12.2,ไม่มีอุปกรณ์ไม่ใช้งานหรือสิ่งที่ไม่เกี่ยวข้องบน ISOWALL,ค้อน ตะปู น็อต ปะแจ หรืออุปกรณ์อื่นๆ ไม่อยู่บน ISOWALL,"Production,Warehouse",2,TRUE
C-13-1,บริเวณรอบอาคาร,13.1,รอบอาคารเป็นระเบียบ สะอาด ไม่มีกองขยะหรืออุปกรณ์อันตราย,ไม่มีกองขยะหรือสิ่งของไม่เกี่ยวข้องรอบอาคาร,Outdoor,2,TRUE
C-13-2,บริเวณรอบอาคาร,13.2,ไม่มีวัชพืชขึ้นรก หญ้าไม่ยาวเกินไปรอบอาคาร,รอบอาคารไม่มีวัชพืชหรือหญ้ายาว,Outdoor,2,TRUE
C-13-3,บริเวณรอบอาคาร,13.3,ท่อระบายน้ำมีฝาปิด ไม่มีขยะ รางระบายไม่กีดขวาง,ระบบระบายน้ำสมบูรณ์ ไม่กีดขวางทางน้ำ,Outdoor,2,TRUE
C-13-4,บริเวณรอบอาคาร,13.4,โครงสร้างอาคารไม่ชำรุด ไม่เป็นแหล่งสัตว์พาหะ,มีแผนซ่อมถ้าชำรุด,Outdoor,2,TRUE
C-13-5,บริเวณรอบอาคาร,13.5,ประตูหนีไฟพร้อมใช้งาน มีป้ายชี้บ่ง ไม่มีสิ่งกีดขวาง,ประตูหนีไฟไม่ชำรุด ไม่เปิดทิ้งไว้,Outdoor,2,TRUE
C-14-1,ตู้/ห้องควบคุมไฟฟ้า,14.1,มีการชี้บ่งตำแหน่งภายในตู้ควบคุมชัดเจน,ระบุตำแหน่ง Circuit/ระบบเครือข่ายชัดเจน,"Maintenance,All",2,TRUE
C-14-2,ตู้/ห้องควบคุมไฟฟ้า,14.2,ไม่มีวัสดุอันตรายหรือสิ่งไม่เกี่ยวข้องในห้อง พื้น ผนัง ฝ้าไม่ชำรุด,ห้องสภาพดี ไม่มีน้ำรั่วซึม ไม่กีดขวางการปฏิบัติงาน,"Maintenance,All",2,TRUE
C-14-3,ตู้/ห้องควบคุมไฟฟ้า,14.3,สภาพภายในตู้สมบูรณ์ ไม่มีจุดเสี่ยงต่อความปลอดภัย,ไม่มีความเสี่ยงต่อชีวิตและทรัพย์สิน,"Maintenance,All",2,TRUE
C-14-4,ตู้/ห้องควบคุมไฟฟ้า,14.4,พื้นที่และอุปกรณ์ภายในห้องสะอาด รวมถึงภายในตู้ควบคุม,ภายในตู้และห้องสะอาด ไม่มีฝุ่นหยากไย่,"Maintenance,All",2,TRUE
C-15-1,ห้องประชุม,15.1,พื้น ผนัง เพดาน หน้าต่าง ประตูสะอาด ไม่ชำรุด,สะอาดไม่มีฝุ่น มีแผนซ่อมถ้าชำรุด,Office,2,TRUE
C-15-2,ห้องประชุม,15.2,โต๊ะประชุมและเก้าอี้จัดเป็นระเบียบเรียบร้อย,จัดวางเป็นระเบียบ,Office,2,TRUE
C-15-3,ห้องประชุม,15.3,มีแผนผังการจัดห้องและวัสดุอุปกรณ์แสดงในตำแหน่งที่สังเกตได้,Layout ห้องประชุมติดในตำแหน่งสังเกตได้ง่าย,Office,2,TRUE
C-15-4,ห้องประชุม,15.4,กรณีมีกระดาน อุปกรณ์จัดเก็บได้โดยสะดวกเหมาะสม,ปากกา แปรงลบกระดานจัดเก็บได้ง่าย,Office,2,TRUE
C-15-5,ห้องประชุม,15.5,อุปกรณ์ไฟฟ้า สายไฟ สายอินเตอร์เน็ตติดตั้งเป็นระเบียบ,สายไฟและสายเน็ตเป็นระเบียบ,Office,2,TRUE
C-16-1,ห้อง/พื้นที่จัดเก็บของสำนักงานส่วนกลาง,16.1,จัดเก็บวัสดุอุปกรณ์เป็นหมวดหมู่ แยกประเภทไม่ปะปนกัน,จัดหมวดหมู่ชัดเจน แยกประเภท,Office,2,TRUE
C-16-2,ห้อง/พื้นที่จัดเก็บของสำนักงานส่วนกลาง,16.2,มีระบบควบคุมวัสดุอุปกรณ์ เช่น ทะเบียนคุม Stock card หรือ QR Code,แสดงข้อมูลชนิดและปริมาณวัสดุที่จัดเก็บ,Office,2,TRUE
C-16-3,ห้อง/พื้นที่จัดเก็บของสำนักงานส่วนกลาง,16.3,พื้นที่จัดเก็บสะอาด ไม่มีฝุ่น หยากไย่ ไม่ชำรุด,สะอาด ไม่สกปรก ไม่มีหยากไย่ฝุ่นละอองสะสม,Office,2,TRUE
C-17-1,ตู้ล็อคเกอร์/ชั้นวางรองเท้า,17.1,มีป้ายแสดงชื่อ/รหัส/ตำแหน่งเพื่อบ่งชี้ความเป็นเจ้าของ,ชี้บ่งเจ้าของตู้ชัดเจน,All,2,TRUE
C-17-2,ตู้ล็อคเกอร์/ชั้นวางรองเท้า,17.2,ภายใน ภายนอก และบนตู้สะอาด ไม่มีฝุ่นและคราบสกปรก,ทุกส่วนสะอาด,All,2,TRUE
C-17-3,ตู้ล็อคเกอร์/ชั้นวางรองเท้า,17.3,ไม่มีสิ่งของวางบนตู้โดยไม่จำเป็น หากจำเป็นวางให้เป็นระเบียบ,วางเป็นระเบียบถ้าจำเป็น,All,2,TRUE
C-18-1,ห้องเก็บสารเคมี,18.1,กำหนดตำแหน่งจัดเก็บสารเคมี มีบริเวณจำเพาะพร้อมป้ายชี้บ่ง,บริเวณจำเพาะพร้อมป้ายชัดเจน,"Production,Warehouse",2,TRUE
C-18-2,ห้องเก็บสารเคมี,18.2,มีเอกสาร SDS หยิบใช้ได้สะดวก,SDS หยิบใช้งานได้ง่าย,"Production,Warehouse",2,TRUE
C-18-3,ห้องเก็บสารเคมี,18.3,มีวิธีการเตรียมสารเคมีติดในบริเวณเตรียมหรือหยิบใช้ได้สะดวก,วิธีเตรียมสารเคมีติดไว้ในบริเวณใช้งาน,"Production,Warehouse",2,TRUE
C-18-4,ห้องเก็บสารเคมี,18.4,มีบันทึกเบิก-จ่ายเป็นปัจจุบัน,Record เบิก-จ่าย Update สม่ำเสมอ,"Production,Warehouse",2,TRUE
C-18-5,ห้องเก็บสารเคมี,18.5,จัดเก็บล็อคหรือป้องกันบุคคลที่ไม่เกี่ยวข้อง,มีการล็อคหรือกันเข้าถึงโดยไม่ได้รับอนุญาต,"Production,Warehouse",2,TRUE
C-19-1,เครื่องถ่ายเอกสาร/ปริ้น,19.1,สภาพเครื่องสะอาด อยู่ในสภาพพร้อมใช้งาน,สภาพเครื่องสะอาด ไม่ชำรุด,Office,2,TRUE
C-19-2,เครื่องถ่ายเอกสาร/ปริ้น,19.2,ไม่พบกระดาษหรือเอกสารที่ปริ้นทิ้งไว้ที่เครื่อง,ไม่มีเอกสารค้างที่เครื่องปริ้น,Office,2,TRUE
C-20-1,พื้นทางเดิน/พื้นห้อง,20.1,สะอาด ไม่มีเศษขยะ ผงฝุ่น หรือน้ำบนพื้นทางเดิน,พื้นทางเดินสะอาดตลอดเวลา,All,2,TRUE
C-20-2,พื้นทางเดิน/พื้นห้อง,20.2,วางของเป็นระเบียบ ไม่มีอุปกรณ์ไม่เกี่ยวข้องกีดขวางทางเดิน,ไม่มีอุปกรณ์ที่ไม่เกี่ยวข้องกีดขวาง,All,2,TRUE
C-20-3,พื้นทางเดิน/พื้นห้อง,20.3,ถ้าต้องวางสิ่งของ กำหนดขอบเขตพื้นที่ชัดเจน,ขอบเขตพื้นที่วางชัดเจน มีสัญลักษณ์,All,2,TRUE
C-21-1,หน้าต่าง/ประตู/ผนัง/เพดาน,21.1,สภาพสมบูรณ์ไม่ชำรุด,ไม่มีส่วนชำรุดโดยไม่มีแผนซ่อม,All,2,TRUE
C-21-2,หน้าต่าง/ประตู/ผนัง/เพดาน,21.2,ติดสัญลักษณ์ ผลัก/ดึง/เลื่อน/ห้ามเปิด/ชำรุด ที่ประตู/หน้าต่าง,ป้ายบอกสถานะประตูหน้าต่างครบถ้วน,All,2,TRUE
C-21-3,หน้าต่าง/ประตู/ผนัง/เพดาน,21.3,สะอาด ไม่มีหยากไย่ ไม่มีคราบสกปรก,ไม่มีคราบหรือหยากไย่สะสม,All,2,TRUE
C-21-4,หน้าต่าง/ประตู/ผนัง/เพดาน,21.4,ห้ามติดกระดาษโน๊ตหรือวางของบนขอบประตู/หน้าต่าง/ผนัง,ยกเว้น Layout หรือป้ายชี้บ่งสถานะ,All,2,TRUE
C-22-1,หลอดไฟ/สวิทซ์ไฟ,22.1,สวิทซ์ สายไฟ หลอดไฟ ใช้งานได้ดี ไม่ชำรุด มีความปลอดภัย,ไม่มีส่วนแตกหัก ปลอดภัย,All,2,TRUE
C-22-2,หลอดไฟ/สวิทซ์ไฟ,22.2,สะอาด ไม่มีหยากไย่ ไม่มีน้ำและคราบฝังลึก,ไม่มีคราบหรือหยากไย่,All,2,TRUE
C-22-3,หลอดไฟ/สวิทซ์ไฟ,22.3,ถ้ามีสวิทซ์มากกว่า 1 สวิทซ์ ให้ระบุตำแหน่ง เปิด-ปิด หรือ Layout,ระบุตำแหน่ง เปิด-ปิด หรือ Layout,All,2,TRUE
C-23-1,พัดลม/เครื่องปรับอากาศ,23.1,สะอาด ไม่มีหยากไย่ สามารถใช้งานได้ตามปกติ มีป้ายแสดงถ้าเสีย,มีป้ายแสดงถ้าเสีย,All,2,TRUE
C-23-2,พัดลม/เครื่องปรับอากาศ,23.2,ปิดพัดลม/แอร์ทุกครั้งที่ไม่มีการใช้งาน,ประหยัดพลังงาน ปิดเมื่อไม่ใช้,All,2,TRUE
C-24-1,คอมพิวเตอร์และอุปกรณ์,24.1,สะอาด ไม่มีฝุ่นสะสม สภาพสมบูรณ์ จัดเก็บสายไฟเป็นระเบียบ,สายไฟเก็บเป็นระเบียบ ไม่รกรุงรัง,Office,2,TRUE
C-24-2,คอมพิวเตอร์และอุปกรณ์,24.2,ไม่ติดกระดาษโน๊ต สติ๊กเกอร์หรือข้อความใดๆ บนเครื่องคอมพิวเตอร์,ไม่มีสติ๊กเกอร์หรือกระดาษโน๊ตบนเครื่อง,Office,2,TRUE
C-25-1,โต๊ะทำงาน/ลิ้นชัก/เก้าอี้,25.1,สะอาด ไม่มีฝุ่นสะสมหรือคราบสกปรกบนโต๊ะและเก้าอี้,ทุกส่วนสะอาด,Office,2,TRUE
C-25-2,โต๊ะทำงาน/ลิ้นชัก/เก้าอี้,25.2,จัดวางสิ่งของเป็นระเบียบ สะดวกในการใช้งาน,สิ่งของบนโต๊ะเป็นระเบียบ,Office,2,TRUE
C-25-3,โต๊ะทำงาน/ลิ้นชัก/เก้าอี้,25.3,ใต้โต๊ะวางได้ไม่เกิน 1 กล่อง หรือของที่กำหนด,เคสคอม UPS ถังขยะ หรือกล่องไม่เกิน 1,Office,2,TRUE
C-25-4,โต๊ะทำงาน/ลิ้นชัก/เก้าอี้,25.4,ภายในลิ้นชักจัดวางของเป็นระเบียบ,ลิ้นชักเป็นระเบียบ,Office,2,TRUE
C-25-5,โต๊ะทำงาน/ลิ้นชัก/เก้าอี้,25.5,กรณีมีถาดเอกสาร/ชั้นเอกสาร ทำป้ายชี้บ่งระบุการจัดเก็บ,ถาดเอกสารชี้บ่งชัดเจน,Office,2,TRUE
C-25-6,โต๊ะทำงาน/ลิ้นชัก/เก้าอี้,25.6,เลื่อนเก้าอี้ไว้ใต้โต๊ะทุกครั้งที่ลุกออกจากที่นั่ง,เก้าอี้เก็บใต้โต๊ะเสมอ,Office,2,TRUE
C-26-1,ตู้เอกสาร/ชั้นวางแฟ้ม,26.1,กำหนดรหัส/ชื่อตู้และชั้นวางแฟ้มให้ค้นหาง่าย,ป้ายชื่อตู้และชั้นชัดเจน,Office,2,TRUE
C-26-2,ตู้เอกสาร/ชั้นวางแฟ้ม,26.2,ภายนอก ภายใน และบนตู้สะอาด,ทุกส่วนสะอาด,Office,2,TRUE
C-26-3,ตู้เอกสาร/ชั้นวางแฟ้ม,26.3,เอกสารในตู้จัดวางเป็นหมวดหมู่ ไม่มีของไม่เกี่ยวข้อง,ไม่วางสิ่งของที่ไม่ใช่เอกสารในตู้,Office,2,TRUE
C-26-4,ตู้เอกสาร/ชั้นวางแฟ้ม,26.4,กรณีวางของบนตู้ จัดวางเป็นระเบียบ มีความปลอดภัย,วางระเบียบ ไม่เสี่ยงล้ม,Office,2,TRUE
C-26-5,ตู้เอกสาร/ชั้นวางแฟ้ม,26.5,สันแฟ้มมีตราสัญลักษณ์บริษัท ชื่อหน่วยงาน รหัส/ดัชนี,สันแฟ้มครบถ้วนตามมาตรฐาน,Office,2,TRUE
C-26-6,ตู้เอกสาร/ชั้นวางแฟ้ม,26.6,จัดประเภทเรียงลำดับแฟ้มตามรหัสดัชนีต่อเนื่อง,เรียงลำดับต่อเนื่องทั้งหมด,Office,2,TRUE
C-27-1,ห้องแต่งตัว/เปลี่ยนชุด,27.1,พื้น อ่างล้างมือ ชั้นวางรองเท้า ตู้ล็อกเกอร์สะอาด ไม่มีฝุ่นและคราบ,ทุกส่วนในห้องแต่งตัวสะอาด,Production,2,TRUE
C-27-2,ห้องแต่งตัว/เปลี่ยนชุด,27.2,สบู่เหลวเพียงพอ มีวิธีล้างมือถูกต้องติดให้เห็นชัดเจน,วิธีล้างมือแสดงชัด,Production,2,TRUE
C-27-3,ห้องแต่งตัว/เปลี่ยนชุด,27.3,มีวิธีแต่งตัวสำหรับแต่ละพื้นที่อย่างเหมาะสม ก่อนเข้าพื้นที่,แสดงวิธีแต่งตัวก่อนเข้าแต่ละพื้นที่,Production,2,TRUE
C-27-4,ห้องแต่งตัว/เปลี่ยนชุด,27.4,ชี้บ่งตู้เก็บชุดชัดเจน จัดเก็บถูกต้องตามป้าย,ตู้ visitor ใช้เฉพาะ visitor,Production,2,TRUE
C-27-5,ห้องแต่งตัว/เปลี่ยนชุด,27.5,ไม่มีอุปกรณ์ที่ไม่เกี่ยวข้องในพื้นที่,ไม่มีสิ่งของที่ไม่ใช่อุปกรณ์แต่งตัว,Production,2,TRUE
C-28-1,โต๊ะปฏิบัติงาน (ผลิต),28.1,สะอาด ไม่มีฝุ่น ไม่มีของไม่เกี่ยวข้องบนโต๊ะ,โต๊ะผลิตสะอาดระหว่างและหลังใช้งาน,Production,2,TRUE
C-28-2,โต๊ะปฏิบัติงาน (ผลิต),28.2,อยู่ในสภาพพร้อมใช้งาน ไม่ชำรุด,สภาพสมบูรณ์,Production,2,TRUE
C-28-3,โต๊ะปฏิบัติงาน (ผลิต),28.3,หลังปฏิบัติงาน/ไม่ใช้งาน เก็บสิ่งของบนโต๊ะให้เรียบร้อย,โต๊ะสะอาดเมื่อเลิกใช้งาน,Production,2,TRUE
C-29-1,ห้องผลิต,29.1,แบ่งส่วนห้องผลิตชัดเจนตามการปฏิบัติงานจริง,Zone การผลิตชัดเจน,Production,2,TRUE
C-29-2,ห้องผลิต,29.2,มีป้ายชื่อห้องติดที่หน้าห้อง,ป้ายชื่อห้องชัดเจน,Production,2,TRUE
C-29-3,ห้องผลิต,29.3,สะอาด ไม่มีฝุ่น หยากไย่ และมีบันทึกทำความสะอาด/บันทึกอื่นๆ ที่เกี่ยวข้องอัพเดตปัจจุบัน,บันทึกทำความสะอาด Update สม่ำเสมอ,Production,2,TRUE
C-29-4,ห้องผลิต,29.4,สภาพห้องสมบูรณ์เหมาะสมกับการผลิต,ห้องสมบูรณ์พร้อมผลิต,Production,2,TRUE
C-29-5,ห้องผลิต,29.5,ไม่มีสิ่งของไม่เกี่ยวข้องในบริเวณผลิต หากจำเป็นให้จัดเก็บเป็นระเบียบ,อะไหล่จัดเก็บเป็นระเบียบถ้าจำเป็น,Production,2,TRUE
C-29-6,ห้องผลิต,29.6,ติดป้ายแสดงสถานะการทำงาน ตรงกับการทำงานจริง,สถานะป้ายตรงกับสถานะจริงของงาน,Production,2,TRUE
C-30-1,เครื่องจักรและอุปกรณ์,30.1,ติดตั้งเหมาะสมกับการใช้งาน สะดวกต่อการเข้าบำรุงรักษา,Layout เครื่องจักรเหมาะกับการใช้งาน,"Production,Maintenance",2,TRUE
C-30-2,เครื่องจักรและอุปกรณ์,30.2,มีป้ายบ่งบอกรหัสเครื่องจักรติดที่เครื่องให้ชัดเจน,ป้ายรหัสตรงกับ Layout พื้นที่,"Production,Maintenance",2,TRUE
C-30-3,เครื่องจักรและอุปกรณ์,30.3,มีคู่มือการปฏิบัติงานและการบำรุงรักษาหยิบใช้ได้สะดวก,WI / คู่มือควบคุมเครื่องหยิบใช้ง่าย,"Production,Maintenance",2,TRUE
C-30-4,เครื่องจักรและอุปกรณ์,30.4,สะอาด ไม่มีฝุ่นและคราบ มีบันทึกตรวจสอบสภาพเป็นประจำ,บันทึกตรวจสอบสภาพเครื่องจักร Update,"Production,Maintenance",2,TRUE
C-30-5,เครื่องจักรและอุปกรณ์,30.5,ไม่มีอุปกรณ์อื่นที่ไม่เกี่ยวข้องวางปะปนกับเครื่องจักร,ไม่มีสิ่งของนอกเครื่องวางบนเครื่องจักร,"Production,Maintenance",2,TRUE
C-30-6,เครื่องจักรและอุปกรณ์,30.6,พร้อมใช้งาน ถ้าชำรุด/เสียต้องมีป้ายบ่งชี้สถานะรอซ่อม,"ป้าย ""รอซ่อม"" ชัดเจนเมื่อเครื่องเสีย","Production,Maintenance",2,TRUE
C-31-1,การจัดวางผลิตภัณฑ์/วัตถุดิบ/พาเลท,31.1,มีป้ายชี้บ่งการจำแนกและแสดงสถานะผลิตภัณฑ์/วัตถุดิบ/พาเลทชัดเจน,จำแนกสถานะชัดเจนทุกชิ้น,"Warehouse,Production",2,TRUE
C-31-2,การจัดวางผลิตภัณฑ์/วัตถุดิบ/พาเลท,31.2,กำหนดขอบเขตพื้นที่วางผลิตภัณฑ์/วัตถุดิบ/พาเลทชัดเจน,เส้นแบ่งพื้นที่ชัดเจน,"Warehouse,Production",2,TRUE
C-31-3,การจัดวางผลิตภัณฑ์/วัตถุดิบ/พาเลท,31.3,ตะกร้า กะบะ พาเลท พร้อมใช้งาน ไม่แตกหัก จัดเก็บในพื้นที่กำหนด,ไม่แตกหัก วางถูกที่,"Warehouse,Production",2,TRUE
C-31-4,การจัดวางผลิตภัณฑ์/วัตถุดิบ/พาเลท,31.4,ชั้นวาง บรรจุภัณฑ์ กะบะ ตะกร้า พาเลทสะอาด ไม่มีฝุ่นและหยากไย่,ทำความสะอาดสม่ำเสมอ,"Warehouse,Production",2,TRUE
C-31-5,การจัดวางผลิตภัณฑ์/วัตถุดิบ/พาเลท,31.5,วางวัตถุดิบและภาชนะถูกต้องตามข้อกำหนด มีความปลอดภัย,วางบนพาเลท ห่างจากผนัง ตามข้อกำหนด GMP/SOP,"Warehouse,Production",2,TRUE
C-32-1,รถเข็น/แฮนด์ลิฟท์/รถยกไฟฟ้า,32.1,อยู่ในสภาพพร้อมใช้งาน ไม่ชำรุด,สภาพสมบูรณ์,"Warehouse,Production",2,TRUE
C-32-2,รถเข็น/แฮนด์ลิฟท์/รถยกไฟฟ้า,32.2,กำหนดจุดจอดชัดเจน ระบุใน Layout,จุดจอดมีสัญลักษณ์/ป้ายชัดเจน,"Warehouse,Production",2,TRUE
C-32-3,รถเข็น/แฮนด์ลิฟท์/รถยกไฟฟ้า,32.3,สะอาด ไม่มีฝุ่น ไม่มีคราบน้ำมันสะสม (แฮนด์ลิฟท์/รถยก),ไม่มีคราบน้ำมันสะสม,"Warehouse,Production",2,TRUE
C-32-4,รถเข็น/แฮนด์ลิฟท์/รถยกไฟฟ้า,32.4,ไม่มีสิ่งของไม่เกี่ยวข้องวางบนรถเมื่อไม่ใช้งาน,รถสะอาด ไม่มีของค้าง,"Warehouse,Production",2,TRUE
